model_name,cv_accuracy_mean,cv_accuracy_std,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1_score,best_params
decision_tree,1.0,0.0,1.0,1.0,1.0,1.0,"{'model__class_weight': None, 'model__max_depth': 4, 'model__min_samples_leaf': 20}"
logistic_regression,0.869,0.005612486080160912,0.865,0.75,0.6666666666666666,0.7058823529411765,"{'model__C': 0.5, 'model__class_weight': None}"
